"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"CertSHC","CertSHC","","","",0,*,"","","","null {[]} {[]}
","Certificate - Smart Health Card's JSon Web Token Logical Model","Data elements for the Smart Health Cards Core Data Set.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"CertSHC.iss","CertSHC.iss","","","",0,1,"","","","string {[]} {[]}
","Issuer","Issuer","","","","","","","","","",,,,,"",,,,"CertSHC.iss",0,1,"",""
"CertSHC.sub","CertSHC.sub","","","",0,1,"","","","string {[]} {[]}
","Subject","Subject","","","","","","","","","",,,,,"",,,,"CertSHC.sub",0,1,"",""
"CertSHC.aud","CertSHC.aud","","","",0,1,"","","","string {[]} {[]}
","Audience","Audience","","","","","","","","","",,,,,"",,,,"CertSHC.aud",0,1,"",""
"CertSHC.exp","CertSHC.exp","","","",0,1,"","","","decimal {[]} {[]}
","Expiration Date","Expiration Date","","","","","","","","","",,,,,"",,,,"CertSHC.exp",0,1,"",""
"CertSHC.nbf","CertSHC.nbf","","","",0,1,"","","","decimal {[]} {[]}
","Not before Date","Not before Date","","","","","","","","","",,,,,"",,,,"CertSHC.nbf",0,1,"",""
"CertSHC.iat","CertSHC.iat","","","",0,1,"","","","decimal {[]} {[]}
","Issued at Date","Issued at Date","","","","","","","","","",,,,,"",,,,"CertSHC.iat",0,1,"",""
"CertSHC.jti","CertSHC.jti","","","",0,1,"","","","string {[]} {[]}
","Credential's Unique Identifier","Credential's Unique Identifier","","","","","","","","","",,,,,"",,,,"CertSHC.jti",0,1,"",""
"CertSHC.vc","CertSHC.vc","","","",0,1,"","","","BackboneElement {[]} {[]}
","VC - verifiable credential","VC - verifiable credential","","","","","","","","","",,,,,"",,,,"CertSHC.vc",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CertSHC.vc.id","CertSHC.vc.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"CertSHC.vc.extension","CertSHC.vc.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CertSHC.vc.modifierExtension","CertSHC.vc.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CertSHC.vc.type","CertSHC.vc.type","","","",0,*,"","","","string {[]} {[]}
","Credential Type","Credential Type","","","","","","","","","",,,,,"",,,,"CertSHC.vc.type",0,*,"",""
"CertSHC.vc.credentialSubject","CertSHC.vc.credentialSubject","","","",0,1,"","","","BackboneElement {[]} {[]}
","Credential Subject","Credential Subject","","","","","","","","","",,,,,"",,,,"CertSHC.vc.credentialSubject",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CertSHC.vc.credentialSubject.id","CertSHC.vc.credentialSubject.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"CertSHC.vc.credentialSubject.extension","CertSHC.vc.credentialSubject.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CertSHC.vc.credentialSubject.modifierExtension","CertSHC.vc.credentialSubject.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CertSHC.vc.credentialSubject.fhirVersion","CertSHC.vc.credentialSubject.fhirVersion","","","",0,1,"","","","string {[]} {[]}
","Fhir Version","Fhir Version","","","","","","","","","",,,,,"",,,,"CertSHC.vc.credentialSubject.fhirVersion",0,1,"",""
"CertSHC.vc.credentialSubject.fhirBundle","CertSHC.vc.credentialSubject.fhirBundle","","","",0,1,"","","","Bundle {[]} {[]}
","Fhir Bundle with the signed objects","Fhir Bundle with the signed objects","","","","","","","","","",,,,,"",,,,"CertSHC.vc.credentialSubject.fhirBundle",0,1,"",""
