"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Workflow Pattern","Mapping: FiveWs Pattern Mapping","Mapping: Object Implementation Information","Mapping: RIM Mapping"
"PlanDefinition.action.condition.extension","PlanDefinition.action.condition.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"PlanDefinition.action.condition.modifierExtension","PlanDefinition.action.condition.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"PlanDefinition.action.condition.kind","PlanDefinition.action.condition.kind","","","",1,1,"","","","code {[]} {[]}
","applicability | start | stop","The kind of condition.","Applicability criteria are used to determine immediate applicability when a plan definition is applied to a given context. Start and stop criteria are carried through application and used to describe enter/exit criteria for an action.","","","","","","","","",,"required","Defines the kinds of conditions that can appear on actions.","http://hl7.org/fhir/ValueSet/action-condition-kind|4.0.1","",,,,"PlanDefinition.action.condition.kind",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.condition.expression","PlanDefinition.action.condition.expression","","","",0,1,"","","","Expression {[]} {[]}
","Boolean-valued expression","An expression that returns true or false, indicating whether the condition is satisfied.","The expression may be inlined or may be a reference to a named expression within a logic library referenced by the library element.","","","","","","","","",,,,,"",,,,"PlanDefinition.action.condition.expression",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.input","PlanDefinition.action.input","","","",0,*,"","","","DataRequirement {[]} {[]}
","Input data requirements","Defines input data requirements for the action.","","","","","","","","","",,,,,"",,,,"PlanDefinition.action.input",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.output","PlanDefinition.action.output","","","",0,*,"","","","DataRequirement {[]} {[]}
","Output data definition","Defines the outputs of the action, if any.","","","","","","","","","",,,,,"",,,,"PlanDefinition.action.output",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.relatedAction","PlanDefinition.action.relatedAction","","","",0,*,"","","","BackboneElement {[]} {[]}
","Relationship to another action","A relationship to another action such as ""before"" or ""30-60 minutes after start of"".","When an action depends on multiple actions, the meaning is that all actions are dependencies, rather than that any of the actions are a dependency.","","","","","","","","",,,,,"",,,,"PlanDefinition.action.relatedAction",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.relatedAction.id","PlanDefinition.action.relatedAction.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"PlanDefinition.action.relatedAction.extension","PlanDefinition.action.relatedAction.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"PlanDefinition.action.relatedAction.modifierExtension","PlanDefinition.action.relatedAction.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"PlanDefinition.action.relatedAction.actionId","PlanDefinition.action.relatedAction.actionId","","","",1,1,"","","","id {[]} {[]}
","What action is this related to","The element id of the related action.","","","","","","","","","",,,,,"",,,,"PlanDefinition.action.relatedAction.actionId",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.relatedAction.relationship","PlanDefinition.action.relatedAction.relationship","","","",1,1,"","","","code {[]} {[]}
","before-start | before | before-end | concurrent-with-start | concurrent | concurrent-with-end | after-start | after | after-end","The relationship of this action to the related action.","","","","","","","","","",,"required","Defines the types of relationships between actions.","http://hl7.org/fhir/ValueSet/action-relationship-type|4.0.1","",,,,"PlanDefinition.action.relatedAction.relationship",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.relatedAction.offset[x]","PlanDefinition.action.relatedAction.offset[x]","","","",0,1,"","","","Duration {[]} {[]}
Range {[]} {[]}","Time offset for the relationship","A duration or range of durations to apply to the relationship. For example, 30-60 minutes before.","","","","","","","","","",,,,,"",,,,"PlanDefinition.action.relatedAction.offset[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.timing[x]","PlanDefinition.action.timing[x]","","","",0,1,"","","","dateTime {[]} {[]}
Age {[]} {[]}Period {[]} {[]}Duration {[]} {[]}Range {[]} {[]}Timing {[]} {[]}","When the action should take place","An optional value describing when the action should be performed.","","","","","","","","","",,,,,"",,,,"PlanDefinition.action.timing[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.participant","PlanDefinition.action.participant","","","",0,*,"","","","BackboneElement {[]} {[]}
","Who should participate in the action","Indicates who should participate in performing the action described.","","","","","","","","","",,,,,"",,,,"PlanDefinition.action.participant",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.participant.id","PlanDefinition.action.participant.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"PlanDefinition.action.participant.extension","PlanDefinition.action.participant.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"PlanDefinition.action.participant.modifierExtension","PlanDefinition.action.participant.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"PlanDefinition.action.participant.type","PlanDefinition.action.participant.type","","","",1,1,"","","","code {[]} {[]}
","patient | practitioner | related-person | device","The type of participant in the action.","","","","","","","","","",,"required","The type of participant for the action.","http://hl7.org/fhir/ValueSet/action-participant-type|4.0.1","",,,,"PlanDefinition.action.participant.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.participant.role","PlanDefinition.action.participant.role","","","",0,1,"","","","CodeableConcept {[]} {[]}
","E.g. Nurse, Surgeon, Parent","The role the participant should play in performing the described action.","","","","","","","","","",,"example","Defines roles played by participants for the action.","http://hl7.org/fhir/ValueSet/action-participant-role","",,,,"PlanDefinition.action.participant.role",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.type","PlanDefinition.action.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","create | update | remove | fire-event","The type of action to perform (create, update, remove).","","","","","","","","","",,"extensible","The type of action to be performed.","http://hl7.org/fhir/ValueSet/action-type","",,,,"PlanDefinition.action.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.groupingBehavior","PlanDefinition.action.groupingBehavior","","","",0,1,"","","","code {[]} {[]}
","visual-group | logical-group | sentence-group","Defines the grouping behavior for the action and its children.","","","","","","","","","",,"required","Defines organization behavior of a group.","http://hl7.org/fhir/ValueSet/action-grouping-behavior|4.0.1","",,,,"PlanDefinition.action.groupingBehavior",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.selectionBehavior","PlanDefinition.action.selectionBehavior","","","",0,1,"","","","code {[]} {[]}
","any | all | all-or-none | exactly-one | at-most-one | one-or-more","Defines the selection behavior for the action and its children.","","","","","","","","","",,"required","Defines selection behavior of a group.","http://hl7.org/fhir/ValueSet/action-selection-behavior|4.0.1","",,,,"PlanDefinition.action.selectionBehavior",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.requiredBehavior","PlanDefinition.action.requiredBehavior","","","",0,1,"","","","code {[]} {[]}
","must | could | must-unless-documented","Defines the required behavior for the action.","","","","","","","","","",,"required","Defines expectations around whether an action or action group is required.","http://hl7.org/fhir/ValueSet/action-required-behavior|4.0.1","",,,,"PlanDefinition.action.requiredBehavior",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.precheckBehavior","PlanDefinition.action.precheckBehavior","","","",0,1,"","","","code {[]} {[]}
","yes | no","Defines whether the action should usually be preselected.","","","","","","","","","",,"required","Defines selection frequency behavior for an action or group.","http://hl7.org/fhir/ValueSet/action-precheck-behavior|4.0.1","",,,,"PlanDefinition.action.precheckBehavior",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.cardinalityBehavior","PlanDefinition.action.cardinalityBehavior","","","",0,1,"","","","code {[]} {[]}
","single | multiple","Defines whether the action can be selected multiple times.","","","","","","","","","",,"required","Defines behavior for an action or a group for how many times that item may be repeated.","http://hl7.org/fhir/ValueSet/action-cardinality-behavior|4.0.1","",,,,"PlanDefinition.action.cardinalityBehavior",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.definition[x]","PlanDefinition.action.definition[x]","","","",0,1,"","","","canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ActivityDefinition], CanonicalType[http://hl7.org/fhir/StructureDefinition/PlanDefinition], CanonicalType[http://hl7.org/fhir/StructureDefinition/Questionnaire]]}
uri {[]} {[]}","Description of the activity to be performed","A reference to an ActivityDefinition that describes the action to be taken in detail, or a PlanDefinition that describes a series of actions to be taken.","Note that the definition is optional, and if no definition is specified, a dynamicValue with a root ($this) path can be used to define the entire resource dynamically.","","","","","","","","",,,,,"",,,,"PlanDefinition.action.definition[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.derivedFrom"
"PlanDefinition.action.transform","PlanDefinition.action.transform","","","",0,1,"","","","canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/StructureMap]]}
","Transform to apply the template","A reference to a StructureMap resource that defines a transform that can be executed to produce the intent resource using the ActivityDefinition instance as the input.","Note that when a referenced ActivityDefinition also defines a transform, the transform specified here generally takes precedence. In addition, if both a transform and dynamic values are specific, the dynamic values are applied to the result of the transform.","","","","","","","","",,,,,"",,,,"PlanDefinition.action.transform",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.dynamicValue","PlanDefinition.action.dynamicValue","","","",0,*,"","","","BackboneElement {[]} {[]}
","Dynamic aspects of the definition","Customizations that should be applied to the statically defined resource. For example, if the dosage of a medication must be computed based on the patient's weight, a customization would be used to specify an expression that calculated the weight, and the path on the resource that would contain the result.","Dynamic values are applied in the order in which they are defined in the PlanDefinition resource. Note that when dynamic values are also specified by a referenced ActivityDefinition, the dynamicValues from the ActivityDefinition are applied first, followed by the dynamicValues specified here. In addition, if both a transform and dynamic values are specific, the dynamic values are applied to the result of the transform.","","","","","","","","",,,,,"",,,,"PlanDefinition.action.dynamicValue",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.dynamicValue.id","PlanDefinition.action.dynamicValue.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"PlanDefinition.action.dynamicValue.extension","PlanDefinition.action.dynamicValue.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"PlanDefinition.action.dynamicValue.modifierExtension","PlanDefinition.action.dynamicValue.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"PlanDefinition.action.dynamicValue.path","PlanDefinition.action.dynamicValue.path","","","",0,1,"","","","string {[]} {[]}
","The path to the element to be set dynamically","The path to the element to be customized. This is the path on the resource that will hold the result of the calculation defined by the expression. The specified path SHALL be a FHIRPath resolveable on the specified target type of the ActivityDefinition, and SHALL consist only of identifiers, constant indexers, and a restricted subset of functions. The path is allowed to contain qualifiers (.) to traverse sub-elements, as well as indexers ([x]) to traverse multiple-cardinality sub-elements (see the [Simple FHIRPath Profile](http://hl7.org/fhir/R4/fhirpath.html#simple) for full details).","To specify the path to the current action being realized, the %action environment variable is available in this path. For example, to specify the description element of the target action, the path would be %action.description. The path attribute contains a [Simple FHIRPath Subset](http://hl7.org/fhir/R4/fhirpath.html#simple) that allows path traversal, but not calculation.","","","","","","","","",,,,,"",,,,"PlanDefinition.action.dynamicValue.path",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.dynamicValue.expression","PlanDefinition.action.dynamicValue.expression","","","",0,1,"","","","Expression {[]} {[]}
","An expression that provides the dynamic value for the customization","An expression specifying the value of the customized element.","The expression may be inlined or may be a reference to a named expression within a logic library referenced by the library element.","","","","","","","","",,,,,"",,,,"PlanDefinition.action.dynamicValue.expression",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PlanDefinition.action.action","PlanDefinition.action.action","","","",0,*,"","","","null {[]} {[]}
","A sub-action","Sub actions that are contained within the action. The behavior of this action determines the functionality of the sub-actions. For example, a selection behavior of at-most-one indicates that of the sub-actions, at most one may be chosen as part of realizing the action definition.","","","","","","","","","",,,,,"",,,,"PlanDefinition.action.action",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","{InverseRelationship of Definition.partOf}"
